date,Hyle Alpha I,Sleeve A (standalone),Sleeve B (standalone),SPY
2025-05-16,4.433328651444845,3.39506932700437,5.021269095762441,1.4656767223304812
2025-05-19,4.413126558923975,3.420851788295,4.938411896740667,1.4672800374929094
2025-05-20,4.475145306665202,3.4141580971013106,5.082638111582928,1.4623467600700535
2025-05-21,4.416487485554477,3.377823458974175,5.004285505451857,1.4377050393428883
2025-05-22,4.486973177128185,3.357106641850564,5.1978587142648225,1.4382723662465169
2025-05-23,4.551373616792184,3.3954156475794424,5.2882958193080345,1.4284551441750337
2025-05-27,4.645181272048115,3.4385043214608295,5.4327824563382,1.4581534742606261
2025-05-28,4.649648197869084,3.422651901737947,5.46782309633933,1.4497175698675426
2025-05-29,4.713246667656783,3.4367432321215112,5.591965607570618,1.4554401716780554
2025-05-30,4.669445073634656,3.427010594545137,5.505693182653564,1.453812190128513
2025-06-02,4.672351872598364,3.4682587722116662,5.430072097712332,1.4620014306504538
2025-06-03,4.714720471557567,3.50657151518159,5.468616509783343,1.4703386694950804
2025-06-04,4.740022275558711,3.483810649457649,5.562480821605687,1.4699440073012517
2025-06-05,4.70298062200299,3.47512635071578,5.489464305073297,1.4628400878123393
2025-06-06,4.821113144369804,3.495390003410442,5.733993737591862,1.4778619175649355
2025-06-09,4.851849152409658,3.4763182188997,5.833217930100233,1.4791939024691065
2025-06-10,4.864068320284593,3.528789372956056,5.775118776867988,1.4875804740879617
2025-06-11,4.948753625685443,3.566607965635811,5.914213528470962,1.4833378555043055
2025-06-12,4.948397120798835,3.637616416621741,5.796695057628634,1.4892331220246182
2025-06-13,4.869614306840071,3.5996712562794375,5.672059390990124,1.4725833107224797
2025-06-16,5.612117753190656,3.634063971837735,7.348361431541338,1.4865938186033902
2025-06-17,5.6105646978873684,3.559353330363472,7.48688877727191,1.4738906292395364
2025-06-18,5.615660058937656,3.5961984601373547,7.422378840079749,1.473668631755508
2025-06-20,5.473991704406051,3.560629311770224,7.131429918799497,1.4658740534273955
2025-06-23,5.44421791719397,3.5676629316176363,7.041232457968888,1.4803532226634775
2025-06-24,5.59120445105528,3.665485391639212,7.228591605269233,1.4967070373202445
2025-06-25,5.534975968718788,3.688187797171862,7.038507066342061,1.49754569448213
2025-06-26,5.62065515891021,3.738271448743637,7.162117794279287,1.5092622283614126
2025-06-27,5.481257862857318,3.6970199396463546,6.892176111080197,1.5167608100441534
2025-06-30,5.643827903181602,3.7783051987880705,7.147452686138583,1.5240127278557516
2025-07-01,5.527910278208469,3.804673379136887,6.804852013920951,1.523519400113466
2025-07-02,5.547918132801184,3.8287839504254566,6.826645424356162,1.5304259885054643
2025-07-03,5.942427478700653,3.8664246028059366,7.700032103141246,1.5424878518043468
2025-07-07,5.937786687642711,3.8647167108252867,7.687366338913493,1.5309933154090924
2025-07-08,5.915792103980635,3.8652605760277265,7.629368837998793,1.5301546582472072
2025-07-09,5.999775255412047,3.9361753933398336,7.704895032855923,1.5393305542537188
2025-07-10,5.914091243138656,3.8451624345378894,7.663487425712763,1.5436718383858323
2025-07-11,5.8254660056666845,3.82651889846545,7.47035358496119,1.5382452332206908
2025-07-14,5.9262086302562444,3.799202721458805,7.781726542784192,1.5411805332872899
2025-07-15,5.931401828559994,3.8332496603601514,7.729554616956917,1.5345946079277772
2025-07-16,6.070284744910892,3.8679655297200273,8.020745704742229,1.5397252164475477
2025-07-17,6.165827158167379,3.912318525213882,8.18155577265377,1.5491477763252024
2025-07-18,6.133877061561816,3.8628279078351824,8.20071299888417,1.5480131225179457
2025-07-21,6.028243803891623,3.8434697877953363,7.959151271706226,1.5509484225845447
2025-07-22,5.952168555828775,3.8472883864103897,7.750420047690039,1.5511704200685732
2025-07-23,6.185347582114849,3.950560685766453,8.149636293552692,1.5643669371747129
2025-07-24,6.165886640411178,3.879995584,8.243569421452035,1.5648849313041124
2025-07-25,6.162602564792078,3.877901195153231,8.240450800657785,1.5714955230507395
2025-07-28,6.100921990540688,3.836770834358779,8.158937689489068,1.571100860856911
2025-07-29,6.061223730637488,3.8662698112777494,7.989769122996571,1.5669569078217118
2025-07-30,6.106267496214713,3.8120423974770925,8.221347172843975,1.5649835968525696
2025-07-31,6.033201005509058,3.7708143662938554,8.11315458978257,1.559112996719371
2025-08-01,5.914863729371205,3.7424357925822607,7.856729172415514,1.5335586196689777
2025-08-04,6.103838357671386,3.814799763994204,8.204280839416944,1.5568683554919713
2025-08-05,6.11990757133041,3.806799076144331,8.264237637386914,1.548975111615402
2025-08-06,6.20881102149112,3.866937087144788,8.370487014573417,1.5608396438173702
2025-08-07,6.260546976056504,3.8833141834079425,8.474720110383634,1.5595323253003133
2025-08-08,6.332212267022374,3.930670910152739,8.565467671466276,1.5716928541476531
2025-08-11,6.307812592143958,3.9305318647190757,8.499905050701692,1.568584889371254
2025-08-12,6.423988768027648,3.9897100786094697,8.685577720032017,1.5852840334476215
2025-08-13,6.384136647753354,4.015932956631429,8.520250991787716,1.590710638612763
2025-08-14,6.298588243154318,4.005772450081008,8.31350730233448,1.5908586369354487
2025-08-15,6.320237707818076,4.006227987107383,8.37333934426543,1.5871340124811926
2025-08-18,6.4043127850555654,4.065559681144184,8.472278534184683,1.5867886830615925
2025-08-19,6.132723273053378,4.015666816371601,7.858110886837072,1.578180113958709
2025-08-20,6.161857802369997,4.070508706550142,7.824776836598291,1.5739868281492817
2025-08-21,6.191260034715055,4.041883963074414,7.953950967673961,1.567672233048026
2025-08-22,6.447296230235805,4.19294958808575,8.314609396658874,1.5917466268715628
2025-08-25,6.4524076347566,4.191440522963669,8.33099274595528,1.5847413729311077
2025-08-26,6.556814831960044,4.191070480953046,8.601710251642109,1.591376631064849
